companyName,location
AADTT,Mumbai
ABB Limited,Bangalore
ACC Limited,Mumbai
Accenture,Bangalore
Aditya Birla Nuvo Ltd. (Exports),Bangalore
Adobe Systems,Bangalore
Aegan Industries Pvt. Ltd.,Dharapuram
Altair Engineering India Pvt. Ltd.,Chennai
Amadeus Software Labs India Pvt. Ltd.,Bangalore
Amazon Software Development India Pvt. Ltd.,Bangalore
Ameex Technologies Pvt. Ltd.,Chennai
Analog Devices India Pvt. Ltd.,Bangalore
Anand Automotive Ltd.,Chennai
Aricent Group,Bangalore
Asahi India Glass Ltd.,Gurgaon
Ashok Leyland Ltd.,Chennai
Athenahealth Technologies Pvt. Ltd.,Chennai
Autotech Nonwovens Pvt. Ltd.,Gujarat
AVTEC Limited,New Delhi
Barry Wehmiller International Resources,Chennai
BGR Energy Systems,Chennai
Bharat Forge Limited,Pune
Bhushan Steel Limited,New Delhi
Blue Star Limited,Chennai
BrahMos Aerospace Pvt. Ltd.,New Delhi
Brakes India Ltd.(Foundry Division),Sholinghur
Brakes India Ltd.,Chennai
Bravo Lucy Technologies,Hyderabad
Broadcom India Research Pvt. Ltd.,Bangalore
CA Technologies,Hyderabad
Capgemini India,Hyderabad
Caterpillar India Pvt. Ltd.,Bangalore
Cethar Limited,Trichy
Chrysler India Automotive Pvt. Ltd.,Chennai
Cisco Systems India Pvt. Ltd.,Bangalore
Citicorp Services Ltd.,Bangalore
Cognizant,Chennai
Commvault Systems India Pvt. Ltd.,Hyderabad
Computer Sciences Corporation Pvt. Ltd.,Chennai
Consul Consolidated Pvt. Ltd.,Chennai
Craftsman Automation Pvt. Ltd.,Coimbatore
Cypress Semiconductors,Bangalore
D.E.Shaw India Software Pvt. Ltd.,Hyderabad
Daikin Aircontioning India Pvt. Ltd.,Chennai
Daimler India Commercial Vehicles Pvt. Ltd.,Chennai
Danfoss Industries Pvt. Ltd.,Chennai
Defiance Technologies,Chennai
Deloitte Consulting India Pvt. Ltd.,Hyderabad
Delphi Automotive Systems Pvt. Ltd.,Bangalore
Delphi-TVS Diesel Systems Ltd.,Chennai
eBay India Pvt. Ltd.,Chennai
Efficient Frontier India,Chennai
Elgi Equipments Ltd.,Coimbatore
EmbedUR Systems India Pvt. Ltd.,Chennai
Ernst & Young,Bangalore
ESAB India Ltd.,Chennai
Exeter Group,Bangalore
Fiorano Software Technologies Pvt. Ltd.,Bangalore
Ford India Pvt. Ltd.,Chennai
Frontline Consulting Services,Hyderabad
GE India Healthcare,Bangalore
General Electric,Bangalore
General Motors Technical Centre,Bangalore
Givaudan India,Mumbai
GKN Aerospace Pvt. Ltd.,Bangalore
Global Scholar,Chennai
Godrej & Boyce Manufacture Company Ltd.,Mumbai
Gokuldas Exports Ltd.,Mysore
Goldman Sachs Technology Division,Bangalore
Goodrich Aerospace Services Pvt. Ltd.,Bangalore
Google California,US
Groz Beckert,Tirupur
HCL Technologies Ltd.,Bangalore
Hospira Healthcare India Pvt. Ltd.,Chennai
HP India Pvt. Ltd.,Bangalore
Hyundai Motor India Ltd.,Chennai
IBM India Pvt. Ltd.,Bangalore
IBM India Software Lab,Bangalore
IGATE Patni,Bangalore
Indian Oil Corporation Ltd.,New Delhi
Infibeam,Bangalore
Infosys Technologies Ltd.,Bangalore
Innovation Labs(24/7 Inc.),Bangalore
Intel India Technologies Pvt. Ltd.,Bangalore
Intimate Fashions,Chennai
ITC ABD Iltd.,Guntur
ITC Infotech India Ltd.,Bangalore
ITC Ltd (Paperboards & Speciality Div),Secunderabad
Ittiam Systems Pvt. Ltd.,Bangalore
Jay Jay Mills India Pvt. Ltd.,Tirupur
Jayem Automotives Ltd.,Coimbatore
Jeanmartin Ltd.,Chennai
Jifflenow Technologies Ltd.,Bangalore
John Deere Technology Center India,Pune
JSW Steel Ltd.,Bellary
JSW Steel Ltd.,Salem
KG Denim Ltd.,Coimbatore
KLA Tencor Software India Pvt. Ltd.,Chennai
KPMG,Mumbai
L&T Technology Services,Bangalore
Lakshmi Machine Works Ltd.,Coimbatore
Larsen & Toubro Ltd.,(ECC Division) Chennai
Larsen & Toubro Ltd.(Infotech),Chennai
Larsen & Toubro Ltd. (Ramboll),Chennai
Larsen & Toubro Ltd.,Mumbai
Latent View Analytics,Chennai
Lucas-TVS,Chennai
Luk India Pvt. Ltd.,Hosur
M.N.Dastur & Company Ltd.,Chennai
Madura Garments,Bangalore
Mahindra & Mahindra Ltd.,Mumbai
Mahindra Comviva Technologies Ltd.,Bangalore
Mahindra Satyam,Chennai
Maruti Suzuki Ltd.,Gurgaon
Mckinsey & Company,Chennai
Mercedes Benz R & D (I) Pvt. Ltd.,Bangalore
Michelin India Tamilnadu Tyres Pvt. Ltd.,Chennai
Microchip Technologies India Pvt. Ltd.,Bangalore
Microsoft India R&D,Bangalore
Mindtree Consulting Ltd.,Bangalore
Mobius Knowledge Services,Chennai
Mu Sigma Business Solutions Pvt. Ltd.,Bangalore
Multicore Ware India Pvt. Ltd.,Chennai
Murugappa Group,Chennai
Mytrah Energy India Ltd.,Hyderabad
Needle Art,Coimbatore
NetApp India,Bangalore
Nibana Solutions Pvt. Ltd.,Chennai
Nokia India Pvt. Ltd.,Chennai
Nomura Services India Pvt. Ltd.,Mumbai
Novell Software Development (I) Pvt. Ltd.,Bangalore
NTT Data Fa Insurance Systems (I) Pvt. Ltd.,Bangalore
Nvidia Graphics Pvt. Ltd.,Bangalore
OAT Systems,Bangalore
Oracle Financial Services Software Ltd.,Bangalore
